job_title,job_links,cities,company,company_rating
Data Analyst,https://www.indeed.com/rc/clk?jk=5d48182784237a4d&fccid=01fd1f2f239c15f4&vjs=3,New York State,Unite Us,5.0
Data Python Developer,https://www.indeed.com/rc/clk?jk=31661855134fd73a&fccid=1c2a61588e44123b&vjs=3,"New York, NY",London Stock Exchange Group,5.0
Junior Python Developer,https://www.indeed.com/rc/clk?jk=f8f068da6dd93fa6&fccid=ca7680692810259a&vjs=3,"New York, NY 10022 (Midtown area)",GTS,5.0
Content Contributor : Django,https://www.indeed.com/rc/clk?jk=3b5568b7c0bcae64&fccid=b9d4e9eceb3ff4c0&vjs=3,New York State,Codecademy,5.0
Penetration Testing Trainee (Remote USA),https://www.indeed.com/rc/clk?jk=487b30db63184515&fccid=bf0600f0f252b45b&vjs=3,"Florida, NY",BreachLock,5.0
Senior Level Python Developer,https://www.indeed.com/rc/clk?jk=bfa41cad10426505&fccid=c85d08a88c59e378&vjs=3,"New York, NY",Naka Technologies,5.0
Software Engineer (New Graduate),https://www.indeed.com/rc/clk?jk=653913a350bc087f&fccid=7c07af204e67482c&vjs=3,"New York, NY",Teachable,5.0
STATISTICIAN,https://www.indeed.com/rc/clk?jk=170fc25cffd33e85&fccid=f9fe675c31a6b8de&vjs=3,"New York, NY",Precision Consulting,5.0
Sr Python Engineer,https://www.indeed.com/rc/clk?jk=942597ea52ca17eb&fccid=ffb2f9156830dd1a&vjs=3,"New York, NY 10123 (Chelsea area)",Kinect,5.0
Senior Django/Python Developer,https://www.indeed.com/rc/clk?jk=ec36299f56189c31&fccid=e53e1451c3ffe7f3&vjs=3,"Brooklyn, NY",Small Planet,5.0
Content Contributor : iOS Development,https://www.indeed.com/rc/clk?jk=a7f18bd945797fb5&fccid=b9d4e9eceb3ff4c0&vjs=3,New York State,Codecademy,5.0
Data Analytics Intern,https://www.indeed.com/rc/clk?jk=bbfec3eab5e85a67&fccid=1b50fcfb150b1b48&vjs=3,"New York, NY",The New York Times,5.0
Digital Archives Assistant,https://www.indeed.com/rc/clk?jk=7c541433bfbcb0b8&fccid=ec3edbdb9b5c3b64&vjs=3,"Long Island City, NY",New York Public Library,5.0
Python Developer,https://www.indeed.com/rc/clk?jk=aa43a6bab9ffca95&fccid=2df6a1e69a70a1e7&vjs=3,"New York, NY 10001 (Chelsea area)",Cognizant Technology Solutions,5.0
Java / Python Tutors,https://www.indeed.com/rc/clk?jk=6dd414e5bf2653aa&fccid=5551312f0bfb4c11&vjs=3,"New York, NY 10001 (Clinton area)","SAM Consulting Services, Inc.",5.0
Content Contributor : iOS Development,https://www.indeed.com/rc/clk?jk=a7f18bd945797fb5&fccid=b9d4e9eceb3ff4c0&vjs=3,New York State,Codecademy,5.0
Data Analytics Intern,https://www.indeed.com/rc/clk?jk=bbfec3eab5e85a67&fccid=1b50fcfb150b1b48&vjs=3,"New York, NY",The New York Times,5.0
Digital Archives Assistant,https://www.indeed.com/rc/clk?jk=7c541433bfbcb0b8&fccid=ec3edbdb9b5c3b64&vjs=3,"Long Island City, NY",New York Public Library,5.0
Python Developer,https://www.indeed.com/rc/clk?jk=aa43a6bab9ffca95&fccid=2df6a1e69a70a1e7&vjs=3,"New York, NY 10001 (Chelsea area)",Cognizant Technology Solutions,5.0
Java / Python Tutors,https://www.indeed.com/rc/clk?jk=6dd414e5bf2653aa&fccid=5551312f0bfb4c11&vjs=3,"New York, NY 10001 (Clinton area)","SAM Consulting Services, Inc.",5.0
Data Technician (Full- or Part-Time),https://www.indeed.com/rc/clk?jk=da727c0cddda240e&fccid=56a26d4c816e53d1&vjs=3,"New York, NY",Thasos Group,5.0
"VP, Operations Strategy - RT",https://www.indeed.com/rc/clk?jk=cec09614df6cf830&fccid=f42bbfc261ca3e64&vjs=3,"New York, NY 10004 (Financial District area)",KLM Careers,5.0
Software Engineers & Web Developers,https://www.indeed.com/rc/clk?jk=597b9830f39b5420&fccid=bc8bf69154b5fc28&vjs=3,"New York, NY",1DocWay,5.0
"Early Careers | Data Development, Governance, and Analytics...",https://www.indeed.com/rc/clk?jk=cccb83ee916012f9&fccid=16a97ed26c75bf2d&vjs=3,"New York, NY",Goldman Sachs,5.0
"Software Engineering Internship, Summer 2021",https://www.indeed.com/rc/clk?jk=180a51e476fb7f4f&fccid=9ecb91618c39a24f&vjs=3,"Brooklyn, NY 11201",Etsy,5.0
Subject Matter Expert: Django,https://www.indeed.com/rc/clk?jk=cdbd82458ababff4&fccid=b9d4e9eceb3ff4c0&vjs=3,New York State,Codecademy,5.0
Quantitative Researcher,https://www.indeed.com/rc/clk?jk=32238dd4ef3c2206&fccid=db0af0ad6162783b&vjs=3,"New York, NY 10014 (West Village area)",Hap Capital,5.0
Data Analyst,https://www.indeed.com/rc/clk?jk=697a48cf0071d978&fccid=9affcdd0562bf28d&vjs=3,"New York, NY 10001 (Chelsea area)",Monument Economics Group,5.0
Associate Test Engineer,https://www.indeed.com/rc/clk?jk=8ba351e5a9535879&fccid=f2cbb7715eae48aa&vjs=3,"New York, NY",Northwestern Mutual,5.0
Software Engineer (Entry Level),https://www.indeed.com/rc/clk?jk=1c59ba3fee98fad3&fccid=950032d3c5a663a9&vjs=3,"Syracuse, NY","SRC, Inc.",5.0
Software Engineer - Python,https://www.indeed.com/rc/clk?jk=1c31d11b9c0ba35e&fccid=e57dd60872c14271&vjs=3,"New York, NY",Sonicbids,5.0
BI Developer,https://www.indeed.com/rc/clk?jk=8825ce1375ec4fe1&fccid=2ddbc08fb5c49732&vjs=3,"New York, NY",Orchard,5.0
Python Programmer Instructor,https://www.indeed.com/rc/clk?jk=92441b01fbfb4df6&fccid=5551312f0bfb4c11&vjs=3,"New York, NY 10001 (Clinton area)","SAM Consulting Services, Inc.",5.0
Students - Equity Trading Desk Internship Summer 2019,https://www.indeed.com/rc/clk?jk=7649cd45d0afd8f0&fccid=7d204885a50ad05e&vjs=3,"New York, NY",SMB Capital,5.0
